quarter,HPI
Dec-89,453.5
Mar-90,463.5
Jun-90,467.6
Sep-90,471.2
Dec-90,470.7
Mar-91,468.9
Jun-91,459.9
Sep-91,459.4
Dec-91,457.6
Mar-92,459.9
Jun-92,459.4
Sep-92,462.6
Dec-92,470.3
Mar-93,474.4
Jun-93,476.6
Sep-93,484.8
Dec-93,497.5
Mar-94,514.7
Jun-94,531.1
Sep-94,549.2
Dec-94,566.4
Mar-95,572.8
Jun-95,577.8
Sep-95,593.2
Dec-95,615.9
Mar-96,648.1
Jun-96,659
Sep-96,658.5
Dec-96,676.2
Mar-97,692.1
Jun-97,698.4
Sep-97,702.9
Dec-97,712.9
Mar-98,706.1
Jun-98,685.7
Sep-98,674.4
Dec-98,687.5
Mar-99,698.9
Jun-99,702.9
Sep-99,703.9
Dec-99,703.9
Mar-00,703.4
Jun-00,696.1
Sep-00,695.7
Dec-00,696.1
Mar-01,700.2
Jun-01,698.4
Sep-01,705.2
Dec-01,717.5
Mar-02,736.1
Jun-02,751.5
Sep-02,774.1
Dec-02,801.4
Mar-03,844
Jun-03,872.6
Sep-03,938.3
Dec-03,1000
Mar-04,1041.3
Jun-04,1066.7
Sep-04,1092.1
Dec-04,1122.2
Mar-05,1181.3
Jun-05,1213
Sep-05,1244.9
Dec-05,1294
Mar-06,1325.6
Jun-06,1338.3
Sep-06,1371.4
Dec-06,1419.9
Mar-07,1480.9
Jun-07,1521.7
Sep-07,1527.4
Dec-07,1532.8
Mar-08,1523
Jun-08,1454.5
Sep-08,1424.1
Dec-08,1395.8
Mar-09,1382.3
Jun-09,1408.2
Sep-09,1439.3
Dec-09,1469.5
Mar-10,1471.1
Jun-10,1456.2
Sep-10,1446.5
Dec-10,1444.7
Mar-11,1448.7
Jun-11,1462.1
Sep-11,1481.8
Dec-11,1486.5
Mar-12,1500.5
Jun-12,1523.6
Sep-12,1553.8
Dec-12,1586.9
Mar-13,1614.7
Jun-13,1662.2
Sep-13,1712.4
Dec-13,1732.2
Mar-14,1743.2
Jun-14,1777.2
Sep-14,1794.8
Dec-14,1842.3
Mar-15,1899.7
Jun-15,1975.6
Sep-15,2062.1
Dec-15,2047.7
Mar-16,2118.9
Jun-16,2251.4
Sep-16,2322.5
Dec-16,2332.6
Mar-17,2349
Jun-17,2375
Sep-17,2401.5
Dec-17,2476.8
Mar-18,2504.9
