Date,Change,OCR
28-Jun-18,No change,1.75
10-May-18,No change,1.75
22-Mar-18,No change,1.75
8-Feb-18,No change,1.75
9-Nov-17,No change,1.75
28-Sep-17,No change,1.75
10-Aug-17,No change,1.75
22-Jun-17,No change,1.75
11-May-17,No change,1.75
23-Mar-17,No change,1.75
9-Feb-17,No change,1.75
10-Nov-16,-0.25,1.75
22-Sep-16,No change,2
11-Aug-16,-0.25,2
9-Jun-16,No change,2.25
28-Apr-16,No change,2.25
10-Mar-16,-0.25,2.25
28-Jan-16,No change,2.5
10-Dec-15,-0.25,2.5
29-Oct-15,No change,2.75
10-Sep-15,-0.25,2.75
23-Jul-15,-0.25,3
11-Jun-15,-0.25,3.25
30-Apr-15,No change,3.5
12-Mar-15,No change,3.5
29-Jan-15,No change,3.5
11-Dec-14,No change,3.5
30-Oct-14,No change,3.5
11-Sep-14,No change,3.5
24-Jul-14,0.25,3.5
12-Jun-14,0.25,3.25
24-Apr-14,0.25,3
13-Mar-14,0.25,2.75
30-Jan-14,No change,2.5
12-Dec-13,No change,2.5
31-Oct-13,No change,2.5
12-Sep-13,No change,2.5
25-Jul-13,No change,2.5
13-Jun-13,No change,2.5
24-Apr-13,No change,2.5
14-Mar-13,No change,2.5
31-Jan-13,No change,2.5
6-Dec-12,No change,2.5
25-Oct-12,No change,2.5
13-Sep-12,No change,2.5
26-Jul-12,No change,2.5
14-Jun-12,No change,2.5
26-Apr-12,No change,2.5
8-Mar-12,No change,2.5
26-Jan-12,No change,2.5
8-Dec-11,No change,2.5
27-Oct-11,No change,2.5
15-Sep-11,No change,2.5
28-Jul-11,No change,2.5
9-Jun-11,No change,2.5
28-Apr-11,No change,2.5
10-Mar-11,-0.5,2.5
27-Jan-11,No change,3
9-Dec-10,No change,3
28-Oct-10,No change,3
16-Sep-10,No change,3
29-Jul-10,0.25,3
10-Jun-10,0.25,2.75
29-Apr-10,No change,2.5
11-Mar-10,No change,2.5
28-Jan-10,No change,2.5
10-Dec-09,No change,2.5
29-Oct-09,No change,2.5
10-Sep-09,No change,2.5
30-Jul-09,No change,2.5
11-Jun-09,No change,2.5
30-Apr-09,-0.5,2.5
12-Mar-09,-0.5,3
29-Jan-09,-1.5,3.5
4-Dec-08,-1.5,5
23-Oct-08,-1,6.5
11-Sep-08,-0.5,7.5
24-Jul-08,-0.25,8
5-Jun-08,No change,8.25
24-Apr-08,No change,8.25
6-Mar-08,No change,8.25
24-Jan-08,No change,8.25
6-Dec-07,No change,8.25
25-Oct-07,No change,8.25
13-Sep-07,No change,8.25
26-Jul-07,0.25,8.25
7-Jun-07,0.25,8
26-Apr-07,0.25,7.75
8-Mar-07,0.25,7.5
25-Jan-07,No change,7.25
7-Dec-06,No change,7.25
26-Oct-06,No change,7.25
14-Sep-06,No change,7.25
27-Jul-06,No change,7.25
8-Jun-06,No change,7.25
27-Apr-06,No change,7.25
9-Mar-06,No change,7.25
26-Jan-06,No change,7.25
8-Dec-05,0.25,7.25
27-Oct-05,0.25,7
15-Sep-05,No change,6.75
28-Jul-05,No change,6.75
9-Jun-05,No change,6.75
28-Apr-05,No change,6.75
10-Mar-05,0.25,6.75
27-Jan-05,No change,6.5
9-Dec-04,No change,6.5
28-Oct-04,0.25,6.5
9-Sep-04,0.25,6.25
29-Jul-04,0.25,6
10-Jun-04,0.25,5.75
29-Apr-04,0.25,5.5
11-Mar-04,No change,5.25
29-Jan-04,0.25,5.25
4-Dec-03,No change,5
23-Oct-03,No change,5
4-Sep-03,No change,5
24-Jul-03,-0.25,5
5-Jun-03,-0.25,5.25
24-Apr-03,-0.25,5.5
6-Mar-03,No change,5.75
23-Jan-03,No change,5.75
20-Nov-02,No change,5.75
2-Oct-02,No change,5.75
14-Aug-02,No change,5.75
3-Jul-02,0.25,5.75
15-May-02,0.25,5.5
17-Apr-02,0.25,5.25
20-Mar-02,0.25,5
23-Jan-02,No change,4.75
14-Nov-01,-0.5,4.75
3-Oct-01,No change,5.25
19-Sep-01,-0.5,5.25
15-Aug-01,No change,5.75
4-Jul-01,No change,5.75
16-May-01,-0.25,5.75
19-Apr-01,-0.25,6
14-Mar-01,-0.25,6.25
24-Jan-01,No change,6.5
6-Dec-00,No change,6.5
4-Oct-00,No change,6.5
16-Aug-00,No change,6.5
5-Jul-00,No change,6.5
17-May-00,0.5,6.5
19-Apr-00,0.25,6
15-Mar-00,0.5,5.75
19-Jan-00,0.25,5.25
17-Nov-99,0.5,5
29-Sep-99,No change,4.5
18-Aug-99,No change,4.5
30-Jun-99,No change,4.5
19-May-99,No change,4.5
21-Apr-99,No change,4.5
17-Mar-99,OCR introduced,4.5
